epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,576.956,0,57.4927,0,0,0,0,0,0,114.792,0,0.000301454,0.000301454,0.000301454
2,1297.11,0,43.0678,0,0,0,0,0,0,78.3919,0,0.000544613,0.000544613,0.000544613
3,1729.94,0,32.2639,0,0,0,0,0,0,59.7117,0,0.000727778,0.000727778,0.000727778
4,2048.86,0,23.8566,0,0,0,0,0,0,44.1226,0,0.000639027,0.000639027,0.000639027
5,2382.74,0,17.6307,0,0,0,0,0,0,42.8734,0,0.000549036,0.000549036,0.000549036
6,2674.21,0,13.537,0,0,0,0,0,0,24.4946,0,0.000459045,0.000459045,0.000459045
7,2935.03,0,10.6251,0,0,0,0,0,0,20.4768,0,0.000369054,0.000369054,0.000369054
8,3198.33,0,8.57459,0,0,0,0,0,0,17.1353,0,0.000279063,0.000279063,0.000279063
9,3459.64,0,7.3484,0,0,0,0,0,0,15.2857,0,0.000189072,0.000189072,0.000189072
10,3715.19,0,6.68816,0,0,0,0,0,0,14.1526,0,9.9081e-05,9.9081e-05,9.9081e-05
